name,link,description
"""The Patio"" at Dirty Habit",https://www.eventbrite.com/e/the-patio-at-dirty-habit-tickets-876325020727?aff=ebdssbcitybrowse,Hungry? Bring your appetite and select dishes from Dirty Habit's delici
I Got Away - Washington DC,https://www.eventbrite.com/e/i-got-away-washington-dc-tickets-863121478577?aff=ebdssbcitybrowse,"I Got Away, in partnership with the 18th annual McDonald’s Inspiration Celebration Gospel Tour, is coming to encourage you to break free and nourish your spirit! We’re uniting top artists who are revolutionizing gospel music and bringing them to a city "
7th Annual MCPL Rang Aur Patang Utsav 2024,https://www.eventbrite.com/e/7th-annual-mcpl-rang-aur-patang-utsav-2024-tickets-843556398897?aff=ebdssbcitybrowse,
Enhancing Diversity and Inclusivity in Acquisitions,https://www.eventbrite.com/e/enhancing-diversity-and-inclusivity-in-acquisitions-tickets-836322973527?aff=ebdssbcitybrowse,"This National Institutes of Health (NIH) conference is being held in collaboration with the White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity through Historically Black Colleges and Universities (HBCUs) and the Advanced Research Projects Agency for Health (ARPA-H). Please register for only one breakout session after you click on the get tic"
SOUTHERN SOUL GOGO AND R&B CONCERT AND A BIG CAR SHOW,https://www.eventbrite.com/e/southern-soul-gogo-and-rb-concert-and-a-big-car-show-tickets-781596826147?aff=ebdssbcitybrowse,
SummerFest w/Eric Bellinger DCVybe Top5 Secret Society Sirius Co Bela Dona,https://www.eventbrite.com/e/summerfest-weric-bellinger-dcvybe-top5-secret-society-sirius-co-bela-dona-tickets-769412101307?aff=ebdssbcitybrowse,"💥Last year 3,000+ festival goers descended on Lerner Town Square @Tysons ll for our epic 2023 SummerFest culminating in the fulfillment of our initiative to help send a young lady to Spelman College... and we're doing i"
Maryland Deathfest XIX,https://www.eventbrite.com/e/maryland-deathfest-xix-tickets-520348395057?aff=ebdssbcitybrowse,
2024 Maryland Sheep & Wool Festival,https://www.eventbrite.com/e/2024-maryland-sheep-wool-festival-tickets-824512197177?aff=ebdssbcitybrowse,"Welcome to the Eventbrite site for the 2024 Maryland Sheep & Wool Festival, our 51st annual festival! Complete details about the Festival can be found on our "
Poetry & the Creative Mind — a National Poetry Month gala fundraiser,https://www.eventbrite.com/e/poetry-the-creative-mind-a-national-poetry-month-gala-fundraiser-registration-861695393117?aff=ebdssbcitybrowse,Rev. Adrie
"Measuring Development 2024 | AI, the Next Generation (Virtual)",https://www.eventbrite.com/e/measuring-development-2024-ai-the-next-generation-virtual-tickets-852312608957?aff=ebdssbcitybrowse,"Foundational models like large language models (LLMs) have recently commanded widespread public attention—and caution—given their transformational potential for both our economy and society. Naturally, questions loom about how these AI innovations will impact the global development research and policy landscape. If used properly by the right actors, these tools might unlock enormous troves of data and create new opportunities to improve lives around t"
Understanding Intergenerational Trauma [Free Webinar],https://www.eventbrite.com/e/understanding-intergenerational-trauma-free-webinar-tickets-845016957467?aff=ebdssbcitybrowse,"Trauma can be passed down through families, affecting individuals and communities across gene"
Career Fair: Exclusive Tech Hiring Event-New Tickets Available,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-new-tickets-available-tickets-63049080497?aff=ebdssbcitybrowse,We will be hosting a virtual Tech Career Fair with our hiring partners from fast growing startups and Fortune 500 companies in technology in the US/Canada.  There will be a focus on helping companies achieve their diversity and inclusivity initiative with more diverse candidates to their talent pool. Available roles that our hiring companies are looking to fill are of the f
NASA’s Boeing Starliner Crew Flight Test,https://www.eventbrite.com/e/nasas-boeing-starliner-crew-flight-test-registration-523750591117?aff=ebdssbcitybrowse,NASA astronauts Butch Wilmore and Suni Williams are assigned to fly Starliner and United Launch Alliance Atlas V rocket to the International Space Station. The duo will remain docked at the orbiting laboratory for about a week to evaluate the new spacecraft and its systems before returning to Earth in the southwestern Unite
Tech Career Fair: Exclusive Tech Hiring Event (New slots available),https://www.eventbrite.com/e/tech-career-fair-exclusive-tech-hiring-event-new-slots-available-tickets-146564621729,"We will be hosting a Tech Career Fair for hiring companies from fast growing startups to Fortune 500 companies in technology. There will be a focus on helping companies achieve their diversity and inclusivity initiative with more diverse candidates from non-traditional backgrounds (bootcamps/self-taught/non-degree/veterans etc) or experienced professionals who are transitioning careers to their talent pool. With over thousands of candidates already signed up, our partn"
"Measuring Development 2024 | AI, the Next Generation (In Person)",https://www.eventbrite.com/e/measuring-development-2024-ai-the-next-generation-in-person-tickets-851883074207?aff=oddtdtcreator,"Foundational models like large language models (LLMs) have recently commanded widespread public attention—and caution—given their transformational potential for both our economy and society. Naturally, questions loom about how these AI innovations will impact the global development research and policy landscape. If used properly by the right actors, these tools might unlock enormous troves of data and create new opportunities to improve lives around t"
"Measuring Development 2024 | AI, the Next Generation (Virtual)",https://www.eventbrite.com/e/measuring-development-2024-ai-the-next-generation-virtual-tickets-852312608957?aff=oddtdtcreator,"Foundational models like large language models (LLMs) have recently commanded widespread public attention—and caution—given their transformational potential for both our economy and society. Naturally, questions loom about how these AI innovations will impact the global development research and policy landscape. If used properly by the right actors, these tools might unlock enormous troves of data and create new opportunities to improve lives around t"
